,Property,FoundationDetails,ConcretePerimeter,,FoundationDetails,ConcretePerimeter,The foundation of the property has a concrete perimeter.,Yes,Yes,
,Property,FoundationDetails,None,,FoundationDetails,None,There are no details about the foundation of the property.,Yes,Yes,
,Property,FoundationDetails,Other,,FoundationDetails,Other,A foundation type not included on this list.,Yes,Yes,
,Property,FoundationDetails,Permanent,,FoundationDetails,Permanent,The foundation is permanent and not temporary or movable.,Yes,Yes,
,Property,FoundationDetails,PillarPostPier,,FoundationDetails,PillarPostPier,he foundation of the property is made wholly or partially of pillar/post/pier.,Yes,Yes,
,Property,FoundationDetails,Raised,,FoundationDetails,Raised,The foundation of the property is raised.,Yes,Yes,
,Property,FoundationDetails,SeeRemarks,,FoundationDetails,SeeRemarks,See the listing's remarks for details about the foundation.,Yes,Yes,
,Property,FoundationDetails,Slab,,FoundationDetails,Slab,The foundation of the property is made wholly or partially of a concrete slab.,Yes,Yes,
,Property,FoundationDetails,Stone,,FoundationDetails,Stone,The foundation of the property is made wholly or partially of stone.,Yes,Yes,
,Property,Furnished,Furnished,,Furnished,Furnished,The listing being leased/sold is furnished.,Yes,Yes,
,Property,Furnished,Negotiable,,Furnished,Negotiable,The property may be furnished or left unfurnished at the lessor's request. Contact the listing agent/office to discuss options and cost differences.,Yes,Yes,
,Property,Furnished,Partially,,Furnished,Partially,The listing being leased/sold is partially furnished.,Yes,Yes,
,Property,Furnished,Unfurnished,,Furnished,Unfurnished,The listing being leased/sold is not furnished.,Yes,Yes,
,Property,GreenBuildingVerificationType,CertifiedPassiveHouse,,GreenBuildingVerificationType,CertifiedPassiveHouse,Super-insulated new homes that have been built to meet certification requirements demonstrating minimal or no heating and cooling system.,Yes,Yes,
,Property,GreenBuildingVerificationType,EnergyStarCertifiedHomes,,GreenBuildingVerificationType,EnergyStarCertifiedHomes,"EPA ENERGY STAR Certified Homes is a set of optional construction practices and technologies (above minimum code requirements) that builders can follow to upgrade a new home's energy efficiency beyond minimum code requirements. Guidelines are outlined in the ""National Performance Path"" or ""National Prescriptive Path."" This whole-house label differs from the ENERGY STAR products label. To achieve the ENERGY STAR Certified Homes label, a home's energy efficiency must be verified by a third-party organization.",Yes,Yes,
,Property,GreenBuildingVerificationType,Enerphit,,GreenBuildingVerificationType,Enerphit,Super-insulated existing homes that have been remodeled to meet certification requirements demonstrating minimal or no heating and cooling system.,Yes,Yes,
,Property,GreenBuildingVerificationType,HersIndexScore,,GreenBuildingVerificationType,HersIndexScore,"The HERS Index is a nationally recognized scoring system for measuring a home's energy performance in the U.S. To calculate a home's HERS Index Score, a certified Residential Energy Services Network (RESNET) home energy rater will do a rating and compare the data against a reference home (a design-modeled home of the same size and shape as the actual home), so the HERS Index Score is always relative to the size shape, and type of the house. The lower the number, the more energy efficient the home.",Yes,Yes,
,Property,GreenBuildingVerificationType,HomeEnergyScore,,GreenBuildingVerificationType,HomeEnergyScore,"The Home Energy Score, managed by the U.S. Department of Energy (DOE), is a national system that allows homes to receive an energy efficiency rating, similar to the miles per gallon (MPG) rating available for cars. The Home Energy Score uses a 10-point scale to reflect how much energy a home is expected to use under standard operating conditions. Homes that are expected to use the least amount of energy (and are considered the most energy efficient) score a 10, and homes that are expected to use the most amount of energy (and are considered the least energy efficient) score a 1. The Home Energy Score uses a standard calculation method and takes into account the home's structure and envelope (walls, windows, foundation) and its heating, cooling and hot water systems. Only Qualified Assessors who pass a DOE exam are allowed to provide the Home Energy Score.",Yes,Yes,
,Property,GreenBuildingVerificationType,HomeEnergyUpgradeCertificateOfEnergyEfficiencyImprovements,,GreenBuildingVerificationType,HomeEnergyUpgradeCertificateOfEnergyEfficiencyImprovements,Buildings Performance Institute BPI-2101-S-2013 Standard Requirements for a Certificate of Completion for Residential Energy Efficiency Upgrades specifies a standard way of describing the improvements made to an existing home through a home energy upgrade (HEU). Certificates are provided by a local energy efficiency program sponsor.,Yes,Yes,
,Property,GreenBuildingVerificationType,HomeEnergyUpgradeCertificateOfEnergyEfficiencyPerformance,,GreenBuildingVerificationType,HomeEnergyUpgradeCertificateOfEnergyEfficiencyPerformance,"Buildings Performance Institute BPI-2101-S-2013 Standard Requirements for a Certificate of Completion for Residential Energy Efficiency Upgrades specifies a standard way of describing the improvements made to an existing home through a home energy upgrade (HEU) and provides one or more measures of a home's performance. Measures of performance may include a Home Energy Rating System (HERS) rating, a Home Energy Score, an indication of projected or actual energy consumption, or other systems. Certificates are provided by a local energy efficiency program sponsor.",Yes,Yes,
,Property,GreenBuildingVerificationType,HomePerformanceWithEnergyStar,,GreenBuildingVerificationType,HomePerformanceWithEnergyStar,Home Performance with ENERGY STAR (HPwES) offers whole-house solutions to high energy bills and homes with comfort problems. The program is managed by a local sponsor that recruits home improvement contractors who are qualified to perform comprehensive home assessments and improvements. Local sponsors must follow specific guidelines to participate as outlined in the HPwES Sponsor Guide and Reference Manual.,Yes,Yes,
,Property,GreenBuildingVerificationType,IndoorAirplus,,GreenBuildingVerificationType,IndoorAirplus,Indoor airPLUS from the U.S. Environmental Protection Agency (EPA) is a voluntary partnership and labeling program covering construction practices and technologies that builders can follow to reduce indoor air pollutants and improve the indoor air quality in a new home beyond minimum code requirements. It is only available to homes that first meet ENERGY STAR Certified Homes certification.,Yes,Yes,
,Property,GreenBuildingVerificationType,LeedForHomes,,GreenBuildingVerificationType,LeedForHomes,"The U.S. Green Building Council (USGBC) residential rating system, LEED for Homes, was launched in 2008. The LEED rating systems are developed through an open, consensus-based process led by LEED committees. LEED is a voluntary program that provides independent, third-party verification that a home was designed and built using methods for achieving high performance in multiple areas of sustainability, including energy, water, waste management, indoor air quality and sustainable site development. There are multiple rating systems for all types of buildings, including existing buildings and homes for residential projects. Homes may achieve different levels of certification (platinum, gold, silver, certified) depending on the number of LEED prerequisites and credits that are met.",Yes,Yes,
,Property,GreenBuildingVerificationType,LivingBuildingChallenge,,GreenBuildingVerificationType,LivingBuildingChallenge,The International Living Future Institute third-party certification that proves that a home produces as much or more energy than is used.,Yes,Yes,
,Property,GreenBuildingVerificationType,NgbsNewConstruction,,GreenBuildingVerificationType,NgbsNewConstruction,"Home Innovation Research Labs certifies homes to the ICC-700 National Green Building Standard (NGBS), which has undergone the full consensus process and received approval from the American National Standards Institute (ANSI). Home Innovation Research Labs provides project certification to the NGBS. NGBS applies to both single-family homes and multifamily buildings. Certification options also exist for new construction, remodel projects (both whole-home and functional areas such as a kitchen or bathroom) and land development/subdivision. Homes may qualify for a bronze, silver, gold or emerald certification level depending on the number of green building practices met.",Yes,Yes,
,Property,GreenBuildingVerificationType,NgbsSmallProjectsRemodel,,GreenBuildingVerificationType,NgbsSmallProjectsRemodel,"Home Innovation Research Labs provides project certification to the National Green Building Standard (NGBS). NGBS applies to both single-family homes and multifamily buildings. Certification options also exist for new construction, remodel projects (both whole-home and functional areas such as a kitchen or bathroom), and land development/subdivision. For the Small Projects Remodel, the functional area (kitchen, bathroom, basement, addition) is either certified or not. Unlike other NGBS certifications, multiple certification levels (bronze, silver, gold or emerald) do not exist for this certification option.",Yes,Yes,
,Property,GreenBuildingVerificationType,NgbsWholeHomeRemodel,,GreenBuildingVerificationType,NgbsWholeHomeRemodel,"Home Innovation Research Labs provides project certification to the National Green Building Standard (NGBS). NGBS applies to both single-family homes and multifamily buildings. Certification options also exist for new construction, remodel projects (both whole-home and functional areas such as a kitchen or bathroom), and land development/subdivision. Homes may qualify for a bronze, silver, gold or emerald certification level depending on the number of green building practices met.",Yes,Yes,
,Property,GreenBuildingVerificationType,PhiusPlus,,GreenBuildingVerificationType,PhiusPlus,Super-insulated homes that have met certification requirements demonstrating minimal or no heating and cooling system.,Yes,Yes,
,Property,GreenBuildingVerificationType,Watersense,,GreenBuildingVerificationType,Watersense,EPA WaterSense is a set of optional construction practices and technologies (above minimum code requirements) that builders can follow to ensure a home uses less water while still providing the same level of comfort and convenience. WaterSense also applies to specific plumbing fixtures (see InteriorFeatures) and should not be confused with the whole-house label.,Yes,Yes,
,Property,GreenBuildingVerificationType,ZeroEnergyReadyHome,,GreenBuildingVerificationType,ZeroEnergyReadyHome,"DOE Zero Energy Ready Home is a set of optional construction practices and technologies (above minimum code and ENERGY STAR Certified Home requirements) that builders can follow to ensure high-performance homes that are so energy efficient that all or most annual energy consumption can be offset with renewable energy. Guidelines are outlined in the ""DOE Zero Energy Ready Home National Program Requirements.""",Yes,Yes,
,Property,GreenEnergyEfficient,Appliances,,GreenEnergyEfficient,Appliances,"For purposes of marketing, the property has appliances that have some green/efficient rating or quality.",Yes,Yes,
,Property,GreenEnergyEfficient,Construction,,GreenEnergyEfficient,Construction,"For purposes of marketing, the property has construction that has some green/efficient rating or quality.",Yes,Yes,
,Property,GreenEnergyEfficient,Doors,,GreenEnergyEfficient,Doors,"For purposes of marketing, the property has doors that have some green/efficient rating or quality.",Yes,Yes,
,Property,GreenEnergyEfficient,ExposureShade,,GreenEnergyEfficient,ExposureShade,"For purposes of marketing, the property has exposure/shade that has some green/efficient rating or quality.",Yes,Yes,
,Property,GreenEnergyEfficient,Hvac,,GreenEnergyEfficient,HVAC,"For purposes of marketing, the property has a heating, ventilation and air conditioning system that has some green/efficient rating or quality.",Yes,Yes,
,Property,GreenEnergyEfficient,Incentives,,GreenEnergyEfficient,Incentives,"For purposes of marketing, the property has incentives that have some green/efficiency focus.",Yes,Yes,
,Property,GreenEnergyEfficient,Insulation,,GreenEnergyEfficient,Insulation,"For purposes of marketing, the property has insulation that has some green/efficient rating or quality.",Yes,Yes,
,Property,GreenEnergyEfficient,Lighting,,GreenEnergyEfficient,Lighting,"For purposes of marketing, the property has lighting that has some green/efficient rating or quality.",Yes,Yes,
,Property,GreenEnergyEfficient,Roof,,GreenEnergyEfficient,Roof,"For purposes of marketing, the property has a roof that has some green/efficient rating or quality.",Yes,Yes,
,Property,GreenEnergyEfficient,Thermostat,,GreenEnergyEfficient,Thermostat,"For purposes of marketing, the property has a thermostat or thermostats that have some green/efficient rating or quality.",Yes,Yes,
,Property,GreenEnergyEfficient,WaterHeater,,GreenEnergyEfficient,WaterHeater,"For purposes of marketing, the property has a water heater that has some green/efficient rating or quality.",Yes,Yes,
,Property,GreenEnergyEfficient,Windows,,GreenEnergyEfficient,Windows,"For purposes of marketing, the property has windows that have some green/efficient rating or quality.",Yes,Yes,
,Property,GreenEnergyGeneration,Solar,,GreenEnergyGeneration,Solar,A renewable form of onsite power generation. Most common are solar photovoltaic (PV) devices that generate electricity directly from sunlight via an electronic process that occurs naturally in certain types of material called semiconductors which power electrical devices or send electricity to the grid. http://www.seia.org/policy/solar-technology/photovoltaic-solar-electric.,Yes,Yes,
,Property,GreenEnergyGeneration,Wind,,GreenEnergyGeneration,Wind,A renewable form of onsite power generation. Wind turbines use wind to make electricity and power electrical devices or send electricity to the grid. http://energy.gov/eere/wind/how-do-wind-turbines-work.,Yes,Yes,
,Property,GreenIndoorAirQuality,ContaminantControl,,GreenIndoorAirQuality,ContaminantControl,"The property has been carefully designed to prevent, monitor and suppress pollution issues. Carefully selected low-emission materials have been used in the home and may include passive or active radon control, carbon monoxide monitoring and high-efficiency sealed combustion for equipment such as furnaces and water heaters. May include elimination of materials that contain lead or asbestos. May include reduction of materials that contain volatile organic compounds (VOCs, including formaldehyde) and pesticides.",Yes,Yes,
,Property,GreenIndoorAirQuality,IntegratedPestManagement,,GreenIndoorAirQuality,IntegratedPestManagement,"The property is designed for systematic management of pests that uses prevention, exclusion, monitoring and suppression.",Yes,Yes,
,Property,GreenIndoorAirQuality,MoistureControl,,GreenIndoorAirQuality,MoistureControl,"Every foundation, roof, roofing component, exterior wall, door, skylight and window is designed and maintained to be watertight and free of persistent dampness or moisture.",Yes,Yes,
,Property,GreenIndoorAirQuality,Ventilation,,GreenIndoorAirQuality,Ventilation,"Furnaces, water heaters, woodstoves and other devices that employ combustion-burning fuel are vented to the outside in a manner that meets manufacturer specifications to prevent back drafting. Natural and/or mechanical ventilation delivers fresh air to every habitable room and bathroom to remove moisture-laden air and other contaminants generated during cooking and bathing/showering. The air exhausted from a bathroom, toilet room or kitchen does not vent into habitable space or an attic.",Yes,Yes,
,Property,GreenLocation,None,,GreenLocation,None,None	There is no specific green efficiencies based on the properties location.,Yes,Yes,
,Property,GreenSustainability,ConservingMethods,,GreenSustainability,ConservingMethods,"Construction is planned to require fewer materials while maintaining structural integrity and may include advanced wall framing as documented in several major green building programs. It may also include indigenous construction methods such as straw bale, sod, clay, etc., based on local climate, materials and practices.",Yes,Yes,
,Property,GreenSustainability,OnsiteRecyclingCenter,,GreenSustainability,OnsiteRecyclingCenter,Property includes sufficient built-in storage space and/or containers for temporary storage of recyclable materials and/or compost collection.,Yes,Yes,
,Property,GreenSustainability,RecyclableMaterials,,GreenSustainability,RecyclableMaterials,"The structure includes multiple products that have a significant amount of postconsumer recycled content. Major green building programs tend to use 25 percent postconsumer recycled content as a threshold. Postindustrial recycled content tends to count toward overall content but to a lesser scale. Some more common examples of recycled content materials include masonry, paving stones or foundations with fly ash; aluminum gutters and downspouts; decking; drywall fibers, insulation and house wrap; vinyl plastics; countertops; and cabinets, interior doors or trim. More details are available on the Home Innovation Research Labs “Browse Green Certified Products” tool or on the LEED Environmentally Preferred Products credit table.",Yes,Yes,
,Property,GreenSustainability,RecycledMaterials,,GreenSustainability,RecycledMaterials,"The structure includes multiple products that have a significant amount of postconsumer recycled content. Major green building programs tend to use 25 percent postconsumer recycled content as a threshold. Postindustrial recycled content tends to count toward overall content but to a lesser scale. Some more common examples of recycled content materials include masonry, paving stones or foundations with fly ash; aluminum gutters and downspouts; decking; drywall fibers, insulation and house wrap; vinyl plastics; countertops; and cabinets, interior doors or trim. More details are available on the Home Innovation Research Labs “Browse Green Certified Products” tool or on the LEED Environmentally Preferred Products credit table.",Yes,Yes,
,Property,GreenSustainability,RegionallySourcedMaterials,,GreenSustainability,RegionallySourcedMaterials,"Refers to building materials that were manufactured, extracted, harvested or recovered within 500 miles of the building. Several major green building programs define regionally sourced as within a 500-mile radius.",Yes,Yes,
,Property,GreenSustainability,RenewableMaterials,,GreenSustainability,RenewableMaterials,"The structure includes materials that are naturally occurring, abundant and/or fast growing. Some products are certified to come from fast-growing or otherwise renewable sources such as flooring and wood products. Some materials may be bio-based, which means they have been processed from once-living materials such as paper, straw, soy, natural fibers and crops.",Yes,Yes,
,Property,GreenSustainability,SalvagedMaterials,,GreenSustainability,SalvagedMaterials,"The structure incorporates materials that were diverted from a landfill and/or sourced to give an otherwise unused item fresh use as an attached fixture. May include bricks, timbers, roofing, flooring, walls, cabinets, doors, etc.",Yes,Yes,
,Property,GreenWaterConservation,EfficientHotWaterDistribution,,GreenWaterConservation,EfficientHotWaterDistribution,"Efficient hot water distribution systems are designed to generate hot water using fewer fuel resources and to get hot water to low-flow faucets and fixtures more quickly. These systems often feature carefully designed plumbing lines that are less redundant and/or shorter. Rather than measuring time to hot water at a fixture in gallons, efficient distribution systems can be measured in cups. The Environmental Protection Agency (EPA) WaterSense Guide for Hot Water Distribution and several green building programs have further details. This may also be known as structured plumbing.",Yes,Yes,
,Property,GreenWaterConservation,GrayWaterSystem,,GreenWaterConservation,GrayWaterSystem,The property includes a gray water system.,Yes,Yes,
,Property,GreenWaterConservation,GreenInfrastructure,,GreenWaterConservation,GreenInfrastructure,"A set of strategies and specifically designed systems to manage stormwater runoff through a variety of small, cost-effective landscape features located on a property. Green infrastructure employs infiltration (allowing water to slowly sink into the soil), evaporation/transpiration using native vegetation and rainwater capture and reuse (storing runoff to water plants, flush toilets, etc.). This may include green roof, rain gardens, rain barrels, permeable paving, etc. The Environmental Protection Agency (EPA) Green Infrastructure website has more information at https://www.epa.gov/green-infrastructure.",Yes,Yes,
,Property,GreenWaterConservation,LowFlowFixtures,,GreenWaterConservation,LowFlowFixtures,"Toilets, bathroom faucets, showerheads, irrigation controllers and other products can be manufactured to use less water than minimum standards. Some products are qualified by third-party programs like the Environmental Protection Agency (EPA) WaterSense and are typically at least 20 percent more water-efficient than standard products. The EPA WaterSense website has additional information at https://www.epa.gov/watersense.",Yes,Yes,
,Property,GreenWaterConservation,WaterRecycling,,GreenWaterConservation,WaterRecycling,"The property includes a system to reuse stormwater via rain barrels or cisterns for landscaping or to treat and reuse water from bathroom sinks, showers and clothes washing drains for landscape irrigation and/or toilet flushing.",Yes,Yes,
,Property,GreenWaterConservation,WaterSmartLandscaping,,GreenWaterConservation,WaterSmartLandscaping,Water-smart landscapes are designed to require less water and fertilizer treatments. These landscapes feature regionally appropriate plants that require low water and are native to the local climate. Plants are organized by hydrozones (watering needs). Any irrigation system is qualified for high water efficiency. Turfgrass is minimized and grown to the tallest height recommended. Strategic maintenance includes mulching and soil aeration. Other details are documented in Environmental Protection Agency's Water-Smart Landscape Design Tips. https://www.epa.gov/watersense/landscaping-tips,Yes,Yes,
,Property,Heating,ActiveSolar,,Heating,ActiveSolar,Active solar heating systems use solar energy to heat a fluid - either liquid or air - and then transfer the solar heat directly to the interior space or to a storage system for later use.,Yes,Yes,
,Property,Heating,Baseboard,,Heating,Baseboard,"Baseboard heating utilizes convection; as cold air drops from the window, it enters the baseboard heating unit where the air is warmed by heating elements, typically fins.",Yes,Yes,
,Property,Heating,Ceiling,,Heating,Ceiling,A heating unit that is installed into or upon the surface of the ceiling.,Yes,Yes,
,Property,Heating,Central,,Heating,Central,"A system where heat is generated in one or more locations in the structure and distributed throughout the structure. The term ""central"" is commonly understood as distribution done by ducting air. Piping a fluid to radiators is also a central type of heating, but this can be clarified with the options ""radiator"" and ""forced air.""",Yes,Yes,
,Property,Heating,CitySteam,,Heating,CitySteam,The unit heating type is city steam.,Yes,Yes,
,Property,Heating,Coal,,Heating,Coal,The heating system uses coal as its fuel to generate heat.,Yes,Yes,
,Property,Heating,CoalStove,,Heating,CoalStove,A coal-burning stove that is used for heat.,Yes,Yes,
,Property,Heating,Ductless,,Heating,Ductless,The heating system does not have ducting like that found in forced-air systems.,Yes,Yes,
,Property,Heating,Electric,,Heating,Electric,The heating system utilizes electricity and heating elements such as coils or fins to generate heat.,Yes,Yes,
,Property,Heating,EnergyStarAccaRsiQualifiedInstallation,,Heating,EnergyStarAccaRsiQualifiedInstallation,The heating system is ENERGY STAR qualified. Specific performance information must be determined by review of the actual unit.,Yes,Yes,
,Property,Heating,EnergyStarQualifiedEquipment,,Heating,EnergyStarQualifiedEquipment,The heating system installation was done by a qualified ENERGY STAR or ACCA RSI contractor.,Yes,Yes,
,Property,Heating,ExhaustFan,,Heating,ExhaustFan,The property has an exhaust fan.,Yes,Yes,
,Property,Heating,FireplaceInsert,,Heating,FireplaceInsert,The property has a fireplace insert for generating heat.,Yes,Yes,
,Property,Heating,Fireplaces,,Heating,Fireplaces,The property has one or more fireplaces used to generate heat.,Yes,Yes,
,Property,Heating,FloorFurnace,,Heating,FloorFurnace,The property has a radiant heating system that is mounted into the floor and distributes heat via convection.,Yes,Yes,
,Property,Heating,ForcedAir,,Heating,ForcedAir,"The property has a forced air system, typically via ducting throughout the structure.",Yes,Yes,
,Property,Heating,Geothermal,,Heating,Geothermal,"A geothermal heating system, also known as a ground source heat pump, transfers heat from below ground into the structure.",Yes,Yes,
,Property,Heating,Gravity,,Heating,Gravity,"A gravity heating system, also known as an octopus furnace, is typically a ducted system that doesn't use a fan but rather is designed to allow the heat to rise naturally through the ducts to different areas of the structure.",Yes,Yes,
,Property,Heating,HeatPump,,Heating,HeatPump,"A system that exchanges heat between a warm and cool space. The heat exchange is done between the dwelling and another air space, like outdoors, or a water source or below ground (geothermal).",Yes,Yes,
,Property,Heating,HotWater,,Heating,HotWater,The heating system uses a boiler and pipes to deliver hot water to radiators throughout the dwelling.,Yes,Yes,
,Property,Heating,HumidityControl,,Heating,HumidityControl,The heating system has humidity control.,Yes,Yes,
,Property,Heating,Kerosene,,Heating,Kerosene,The heating system uses kerosene as its fuel to generate heat.,Yes,Yes,
,Property,Heating,NaturalGas,,Heating,NaturalGas,The heating system uses natural gas as its fuel to generate heat.,Yes,Yes,
,Property,Heating,None,,Heating,None,The property does not have a heating system.,Yes,Yes,
,Property,Heating,Oil,,Heating,Oil,The heating system uses oil as its fuel to generate heat.,Yes,Yes,
,Property,Heating,Other,,Heating,Other,The property has a heating system or features that are not included on this list.,Yes,Yes,
,Property,Heating,PassiveSolar,,Heating,PassiveSolar,"Passive solar is a building design where the walls, windows, floors, etc., are made to collect heat and warm the dwelling.",Yes,Yes,
,Property,Heating,PelletStove,,Heating,PelletStove,The property has a stove that burns compressed wood or biomass pellets to generate heat.,Yes,Yes,
,Property,Heating,Propane,,Heating,Propane,The heating system uses propane as its fuel to generate heat.,Yes,Yes,
,Property,Heating,PropaneStove,,Heating,PropaneStove,The property has a stove that burns propane to generate heat.,Yes,Yes,
,Property,Heating,Radiant,,Heating,Radiant,The heating system uses radiators to release heat within the dwelling. The heat is typically delivered to the radiator(s) by water/steam or electricity.,Yes,Yes,
,Property,Heating,RadiantCeiling,,Heating,RadiantCeiling,The radiant heating element(s) are located in the ceiling.,Yes,Yes,
,Property,Heating,RadiantFloor,,Heating,RadiantFloor,The radiant heating element(s) are located in the floor.,Yes,Yes,
,Property,Heating,SeeRemarks,,Heating,SeeRemarks,See the remarks fields for additional information about the heating system included with the property.,Yes,Yes,
,Property,Heating,SeparateMeters,,Heating,SeparateMeters,The heating system has multiple units and/or is zoned with separate meters for each zone/unit.,Yes,Yes,
,Property,Heating,Solar,,Heating,Solar,The property has a heating system or method that uses an unspecified type of solar heating.,Yes,Yes,
,Property,Heating,SpaceHeater,,Heating,SpaceHeater,The property comes with a stand-alone space heater.,Yes,Yes,
,Property,Heating,Steam,,Heating,Steam,The heating system uses a boiler and pipes to deliver hot water to radiators throughout the dwelling.,Yes,Yes,
,Property,Heating,VariesByUnit,,Heating,VariesByUnit,The type of heating or heating features vary from unit to unit.,Yes,Yes,
,Property,Heating,WallFurnace,,Heating,WallFurnace,Typically a ductless system that is built into a wall to deliver to the room in which it's installed.,Yes,Yes,
,Property,Heating,Wood,,Heating,Wood,The heating system uses wood as its fuel to generate heat.,Yes,Yes,
,Property,Heating,WoodStove,,Heating,WoodStove,The property has a stove that burns wood to generate heat.,Yes,Yes,
,Property,Heating,Zoned,,Heating,Zoned,"The heating system is zoned, allowing for indepenant control of two or more parts of the structure.",Yes,Yes,
,Property,InteriorFeatures,Bar,,InteriorFeatures,Bar,"A built-in or movable fixture for the storage, preparation, serving and/or consumption of drinks.",Yes,Yes,
,Property,InteriorFeatures,BeamedCeilings,,InteriorFeatures,BeamedCeilings,A property that has exposed beams across the ceiling of a room or rooms.,Yes,Yes,
,Property,InteriorFeatures,Bidet,,InteriorFeatures,Bidet,A type of sink designed to wash the undercarriage of the human body.,Yes,Yes,
,Property,InteriorFeatures,Bookcases,,InteriorFeatures,Bookcases,Shelves for books or other objects that may or may not be built into the property.,Yes,Yes,
,Property,InteriorFeatures,BreakfastBar,,InteriorFeatures,BreakfastBar,"A surface designed for eating, which is typically smaller than a dining table and attached to another kitchen surface.",Yes,Yes,
,Property,InteriorFeatures,BuiltInFeatures,,InteriorFeatures,BuiltInFeatures,Some features are physically attached to the structure.,Yes,Yes,
,Property,InteriorFeatures,CathedralCeilings,,InteriorFeatures,CathedralCeilings,"A type of vaulted ceiling that is typically higher than normal ceilings and has a slant or curve to reach its uppermost point, which tends to be equal distance from the two shorter walls in the room.",Yes,Yes,
,Property,InteriorFeatures,CedarClosets,,InteriorFeatures,CedarClosets,A closet that is partially or fully lined with cedarwood.,Yes,Yes,
,Property,InteriorFeatures,CeilingFans,,InteriorFeatures,CeilingFans,A fan is mounted from the ceiling in a room or multiple rooms.,Yes,Yes,
,Property,InteriorFeatures,CentralVacuum,,InteriorFeatures,CentralVacuum,"A built-in vacuum that typically consists of a power/collection unit that is typically installed in a garage or closet, tubing from the power unit to rooms throughout the house and including wall-mounted receptacles for the connection of a movable vacuum hose.",Yes,Yes,
,Property,InteriorFeatures,Chandelier,,InteriorFeatures,Chandelier,"A decorative lighting fixture that typically branches out with several lights (or candles) with other decorative components such as glass, crystal or other reflective or light-enhancing materials.",Yes,Yes,
,Property,InteriorFeatures,CofferedCeilings,,InteriorFeatures,CofferedCeilings,"A ceiling with multiple decorative indentations, trays or sunken panels.",Yes,Yes,
,Property,InteriorFeatures,CrownMolding,,InteriorFeatures,CrownMolding,A decorative trim covering the seam between the ceiling and walls.,Yes,Yes,
,Property,InteriorFeatures,Den,,InteriorFeatures,Den,The listing contains a den.,Yes,Yes,
,Property,InteriorFeatures,DoubleVanity,,InteriorFeatures,DoubleVanity,Bathroom cabinetry with two built-in sinks.,Yes,Yes,
,Property,InteriorFeatures,DryBar,,InteriorFeatures,DryBar,"A built-in or movable fixture for the storage, preparation, serving and consumption of drinks that does not have a water supply or sink.",Yes,Yes,
,Property,InteriorFeatures,Dumbwaiter,,InteriorFeatures,Dumbwaiter,"A small elevator, typically for carrying food between floors in a structure.",Yes,Yes,
,Property,InteriorFeatures,EatInKitchen,,InteriorFeatures,EatInKitchen,A kitchen that has been designed to accommodate dining.,Yes,Yes,
,Property,InteriorFeatures,Elevator,,InteriorFeatures,Elevator,A platform or compartment housed within a shaft for raising or lowering people or objects.,Yes,Yes,
,Property,InteriorFeatures,EntranceFoyer,,InteriorFeatures,EntranceFoyer,A room or hall at the entrance leading to other parts of the structure.,Yes,Yes,
,Property,InteriorFeatures,GalleyKitchen,,InteriorFeatures,GalleyKitchen,"A long, thin kitchen with cabinets on either side.",Yes,Yes,
,Property,InteriorFeatures,GraniteCounters,,InteriorFeatures,GraniteCounters,The counters are made of a type of granite stone.,Yes,Yes,
,Property,InteriorFeatures,HighCeilings,,InteriorFeatures,HighCeilings,The ceiling height is greater than what might be considered a normal celling height.,Yes,Yes,
,Property,InteriorFeatures,HighSpeedInternet,,InteriorFeatures,HighSpeedInternet,The property has access to high-speed internet service but may or may not be wired and/or connected to that service..,Yes,Yes,
,Property,InteriorFeatures,HisAndHersClosets,,InteriorFeatures,HisAndHersClosets,The room or rooms have two separate closets.,Yes,Yes,
,Property,InteriorFeatures,HomeOffice,,InteriorFeatures,HomeOffice,The listing contains a home office.,Yes,Yes,
,Property,InteriorFeatures,InLawFloorplan,,InteriorFeatures,InLawFloorplan,"The structure has an area within that has the characteristics of an independent apartment, typically with a living area, kitchen, bedroom and bathroom. An in-law floor plan is not necessarily an Accessory Dwelling Unit (ADU).",Yes,Yes,
,Property,InteriorFeatures,KitchenIsland,,InteriorFeatures,KitchenIsland,"A separate counter surface in a kitchen that is not attached to other surfaces or to a wall. A kitchen island may or may not include a sink, stove or other fixtures.",Yes,Yes,
,Property,InteriorFeatures,LaminateCounters,,InteriorFeatures,LaminateCounters,The counters are covered with a laminate.,Yes,Yes,
,Property,InteriorFeatures,LowFlowPlumbingFixtures,,InteriorFeatures,LowFlowPlumbingFixtures,Some or all of the fixtures are designed to save water.,Yes,Yes,
,Property,InteriorFeatures,MasterDownstairs,,InteriorFeatures,MasterDownstairs,There is a primary bedroom on the main level of the structure.,Yes,Yes,
,Property,InteriorFeatures,NaturalWoodwork,,InteriorFeatures,NaturalWoodwork,The property or room has features made from real wood.,Yes,Yes,
,Property,InteriorFeatures,OpenFloorplan,,InteriorFeatures,OpenFloorplan,A generic design term for a floor plan that makes use of large open spaces and avoids the use of small enclosed spaces.,Yes,Yes,
,Property,InteriorFeatures,Other,,InteriorFeatures,Other,The room or interior has features other than those included on this list.,Yes,Yes,
,Property,InteriorFeatures,Pantry,,InteriorFeatures,Pantry,"A small room or closet where food, dishes and utensils are stored.",Yes,Yes,
,Property,InteriorFeatures,RecessedLighting,,InteriorFeatures,RecessedLighting,A light fixture installed into a hollow opening in the ceiling.,Yes,Yes,
